nome_parlametria,uf,nome_original,partido,id_camara
ROBERTO DE LUCENA,SP,ROBERTO DE LUCENA,PODE,160653
CARLA ZAMBELLI,SP,CARLA ZAMBELLI,PSL,204507
FERNANDA MELCHIONNA,RS,FERNANDA MELCHIONNA,PSOL,204407
HEITOR FREIRE,CE,HEITOR FREIRE,PSL,204548
ROSANGELA GOMES,RJ,ROSANGELA GOMES,REPUBLICANOS,178945
PR. MARCO FELICIANO,SP,PR MARCO FELICIANO,PL,160601
ÁTILA LINS,AM,ÁTILA LINS,PP,74090
JOSÉ NELTO,GO,JOSÉ NELTO,PODE,204391
ALEX MANENTE,SP,ALEX MANENTE,CIDADANIA,178972
ZÉ NETO,BA,ZÉ NETO,PT,204559
SILVIA CRISTINA,RO,SILVIA CRISTINA,PDT,204360
BETO PEREIRA,MS,BETO PEREIRA,PSDB,204358
HILDO ROCHA,MA,HILDO ROCHA,MDB,178884
JOSEILDO RAMOS,BA,JOSEILDO RAMOS,PT,209189
ZÉ CARLOS,MA,ZÉ CARLOS,PT,178889
FREI ANASTACIO RIBEIRO,PB,FREI ANASTACIO RIBEIRO,PT,204393
JESUS SÉRGIO,AC,JESUS SÉRGIO,PDT,204435
CHARLES FERNANDES,BA,CHARLES FERNANDES,PSD,205476
AJ ALBUQUERQUE,CE,AJ ALBUQUERQUE,PP,204549
MARCELO NILO,BA,MARCELO NILO,PSB,204558
PAULO GUEDES,MG,PAULO GUEDES,PT,204492
ADRIANO DO BALDY,GO,ADRIANO DO BALDY,PP,121948
LÉO MORAES,RO,LÉO MORAES,PODE,204359
SIDNEY LEITE,AM,SIDNEY LEITE,PSD,204557
JANDIRA FEGHALI,RJ,JANDIRA FEGHALI,PCdoB,74848
VITOR HUGO,GO,MAJOR VITOR HUGO,PSL,179587
TADEU ALENCAR,PE,TADEU ALENCAR,PSB,178922
KIM KATAGUIRI,SP,KIM KATAGUIRI,DEM,204536
GENECIAS NORONHA,CE,GENECIAS NORONHA,SOLIDARIEDADE,160669
SANDERSON,RS,SANDERSON,PSL,204416
PAULO EDUARDO MARTINS,PR,PAULO EDUARDO MARTINS,PSC,193726
HELDER SALOMÃO,ES,HELDER SALOMÃO,PT,178873
JOSÉ MEDEIROS,MT,JOSÉ MEDEIROS,PODE,204472
MARCON,RS,MARCON,PT,160535
JOENIA WAPICHANA,RR,JOENIA WAPICHANA,REDE,204468
CARLOS VERAS,PE,CARLOS VERAS,PT,204426
BOHN GASS,RS,BOHN GASS,PT,160538
ALEXANDRE FROTA,SP,ALEXANDRE FROTA,PSDB,204544
LUIZ LIMA,RJ,LUIZ LIMA,PSL,204455
MARIA ROSAS,SP,MARIA ROSAS,REPUBLICANOS,204540
HELIO LOPES,RJ,HELIO LOPES,PSL,204444
AÉCIO NEVES,MG,AÉCIO NEVES,PSDB,74646
LEUR LOMANTO JÚNIOR,BA,LEUR LOMANTO JÚNIOR,DEM,92102
ELI CORRÊA FILHO,SP,ELI CORRÊA FILHO,DEM,160532
HUGO MOTTA,PB,HUGO MOTTA,REPUBLICANOS,160674
LEÔNIDAS CRISTINO,CE,LEÔNIDAS CRISTINO,PDT,74299
HUGO LEAL,RJ,HUGO LEAL,PSD,141450
VICENTINHO JÚNIOR,TO,VICENTINHO JÚNIOR,PL,137070
SERGIO VIDIGAL,ES,SERGIO VIDIGAL,PDT,178874
PROFESSOR JOZIEL,RJ,PROFESSOR JOZIEL,PSL,204446
DA VITORIA,ES,DA VITORIA,CIDADANIA,204355
JAQUELINE CASSOL,RO,JAQUELINE CASSOL,PP,108338
PAULO AZI,BA,PAULO AZI,DEM,178860
