nome_parlametria,uf,nome_original,partido,id_camara
RUY CARNEIRO,PB,RUY CARNEIRO,PSDB,160635
FERNANDO MONTEIRO,PE,FERNANDO MONTEIRO,PP,92699
ASSIS CARVALHO,PI,ASSIS CARVALHO,PT,159237
JÚLIO CESAR,PI,JÚLIO CESAR,PSD,74317
SCHIAVINATO,PR,SCHIAVINATO,PP,204399
GUILHERME MUSSI,SP,GUILHERME MUSSI,PP,160667
JOÃO MARCELO SOUZA,MA,JOÃO MARCELO SOUZA,MDB,112437
DANIEL TRZECIAK,RS,DANIEL TRZECIAK,PSDB,204409
EMIDINHO MADEIRA,MG,EMIDINHO MADEIRA,PSB,161550
DAVID SOARES,SP,DAVID SOARES,DEM,204511
DOMINGOS NETO,CE,DOMINGOS NETO,PSD,143632
BETO FARO,PA,BETO FARO,PT,141335
KÁTIA ABREU,TO,KÁTIA ABREU,PFL,73592
FERNANDO RODOLFO,PE,FERNANDO RODOLFO,PL,204427
RODRIGO COELHO,SC,RODRIGO COELHO,PSB,204366
ELMAR NASCIMENTO,BA,ELMAR NASCIMENTO,DEM,178854
JHC,AL,JHC,PSB,178842
FABIO SCHIOCHET,SC,FABIO SCHIOCHET,PSL,204368
RODRIGO DE CASTRO,MG,RODRIGO DE CASTRO,PSDB,141531
VITOR LIPPI,SP,VITOR LIPPI,PSDB,178992
VENEZIANO VITAL DO RÊGO,PB,VENEZIANO VITAL DO RÊGO,PSB,178913
AFONSO FLORENCE,BA,AFONSO FLORENCE,PT,160508
JORGE BRAZ,RJ,JORGE BRAZ,REPUBLICANOS,205550
JOÃO MAIA,RN,JOÃO MAIA,PL,141459
OSSESIO SILVA,PE,OSSESIO SILVA,REPUBLICANOS,204422
ALINE GURGEL,AP,ALINE GURGEL,REPUBLICANOS,204353
EDIO LOPES,RR,EDIO LOPES,PL,141417
PROFESSORA MARCIVANIA,AP,PROFESSORA MARCIVANIA,PCdoB,160641
PAULO MAGALHÃES,BA,PAULO MAGALHÃES,PSD,74574
JUAREZ COSTA,MT,JUAREZ COSTA,MDB,204474
NORMA AYUB,ES,NORMA AYUB,DEM,66179
ROBERTO ROCHA,MA,ROBERTO ROCHA,PSDB,74209
JOÃO H. CAMPOS,PE,JOÃO H CAMPOS,PSB,204429
TONINHO WANDSCHEER,PR,TONINHO WANDSCHEER,PROS,178934
MARA ROCHA,AC,MARA ROCHA,PSDB,204471
GIOVANI FELTES,RS,GIOVANI FELTES,MDB,178996
MARLON SANTOS,RS,MARLON SANTOS,PDT,204403
WELLINGTON ROBERTO,PB,WELLINGTON ROBERTO,PL,74043
GONZAGA PATRIOTA,PE,GONZAGA PATRIOTA,PSB,74419
LUIZ CARLOS,AP,LUIZ CARLOS,PSDB,160645
HERCÍLIO COELHO DINIZ,MG,HERCÍLIO COELHO DINIZ,MDB,204539
BIA CAVASSA,MS,BIA CAVASSA,PSDB,207176
LUIZ CARLOS MOTTA,SP,LUIZ CARLOS MOTTA,PL,204485
WELLINGTON FAGUNDES,MT,WELLINGTON FAGUNDES,PR,73653
CARLOS SAMPAIO,SP,CARLOS SAMPAIO,PSDB,74262
EMANUEL PINHEIRO NETO,MT,EMANUEL PINHEIRO NETO,PTB,198783
CLEBER VERDE,MA,CLEBER VERDE,REPUBLICANOS,141408
EFRAIM FILHO,PB,EFRAIM FILHO,DEM,141422
POLICIAL KATIA SASTRE,SP,POLICIAL KATIA SASTRE,PL,204529
JUNIO AMARAL,MG,JUNIO AMARAL,PSL,204520
RONALDO CARLETTO,BA,RONALDO CARLETTO,PP,178861
HAROLDO CATHEDRAL,RR,HAROLDO CATHEDRAL,PSD,204465
GUSTAVO FRUET,PR,GUSTAVO FRUET,PDT,73460
ACÁCIO FAVACHO,AP,ACÁCIO FAVACHO,PROS,204379
ABÍLIO SANTANA,BA,ABÍLIO SANTANA,PL,204554
BALEIA ROSSI,SP,BALEIA ROSSI,MDB,178975
LUCIANO BIVAR,PE,LUCIANO BIVAR,PSL,74478
CELSO RUSSOMANNO,SP,CELSO RUSSOMANNO,REPUBLICANOS,73441
JOSÉ PRIANTE,PA,JOSÉ PRIANTE,MDB,74079
VITOR HUGO,GO,VITOR HUGO,PSL,179587
LUCIANO DUCCI,PR,LUCIANO DUCCI,PSB,178931
NIVALDO ALBUQUERQUE,AL,NIVALDO ALBUQUERQUE,PTB,194260
FABIANO TOLENTINO,MG,FABIANO TOLENTINO,CIDADANIA,211866
MARCELO BRUM,RS,MARCELO BRUM,PSL,205863
MARCOS AURÉLIO SAMPAIO,PI,MARCOS AURÉLIO SAMPAIO,MDB,204431
FÁBIO FARIA,RN,FÁBIO FARIA,PSD,141428
TITO,BA,TITO,AVANTE,197438
FLÁVIO NOGUEIRA,PI,FLÁVIO NOGUEIRA,PDT,191923
OLIVAL MARQUES,PA,OLIVAL MARQUES,DEM,204498
JÚNIOR FERRARI,PA,JÚNIOR FERRARI,PSD,204497
LEDA SADALA,AP,LEDA SADALA,AVANTE,204375
SÉRGIO BRITO,BA,SÉRGIO BRITO,PSD,73808
ROBERTO PESSOA,CE,ROBERTO PESSOA,PSDB,74305
PEDRO AUGUSTO BEZERRA,CE,PEDRO AUGUSTO BEZERRA,PTB,90201
DANIEL COELHO,PE,DANIEL COELHO,CIDADANIA,178916
JORGINHO MELLO,SC,JORGINHO MELLO,PR,160509
WOLNEY QUEIROZ,PE,WOLNEY QUEIROZ,PDT,74439
NEREU CRISPIM,RS,NEREU CRISPIM,PSL,204415
BOSCO SARAIVA,AM,BOSCO SARAIVA,SOLIDARIEDADE,204551
ZEQUINHA MARINHO,PA,ZEQUINHA MARINHO,PSC,73933
PATRICIA FERRAZ,AP,PATRICIA FERRAZ,PODE,205535
EDUARDO GOMES,TO,EDUARDO GOMES,SD,73945
FÁBIO RAMALHO,MG,FÁBIO RAMALHO,MDB,141427
JOSÉ NUNES,BA,JOSÉ NUNES,PSD,160619
